Year-Month,Weekend Days,Total Days
2016-01,10,31
2016-02,8,29
2016-03,8,31
2016-04,9,30
2016-05,9,31
2016-06,8,30
2016-07,10,31
2016-08,8,31
2016-09,8,30
2016-10,10,31
2016-11,8,30
2016-12,9,31
2017-01,9,31
2017-02,8,28
2017-03,8,31
2017-04,10,30
2017-05,8,31
2017-06,8,30
2017-07,10,31
2017-08,8,31
2017-09,9,30
2017-10,9,31
2017-11,8,30
2017-12,10,31
2018-01,8,31
2018-02,8,28
2018-03,9,31
2018-04,9,30
2018-05,8,31
2018-06,9,30
2018-07,9,31
2018-08,8,31
2018-09,10,30
2018-10,8,31
2018-11,8,30
2018-12,10,31
2019-01,8,31
2019-02,8,28
2019-03,10,31
2019-04,8,30
2019-05,8,31
2019-06,10,30
2019-07,8,31
2019-08,9,31
2019-09,9,30
2019-10,8,31
2019-11,9,30
2019-12,9,31
2020-01,8,31
2020-02,9,29
2020-03,9,31
2020-04,8,30
2020-05,10,31
2020-06,8,30
2020-07,8,31
2020-08,10,31
2020-09,8,30
2020-10,9,31
2020-11,9,30
2020-12,8,31
2021-01,10,31
2021-02,8,28
2021-03,8,31
2021-04,8,30
2021-05,10,31
2021-06,8,30
2021-07,9,31
2021-08,9,31
2021-09,8,30
2021-10,10,31
2021-11,8,30
2021-12,8,31
