Jaar;Maand;RA omschrijving;Gemiddelde (km.uren);Voortschrijdend gemiddelde (km.uren)
2016;1;Vlaanderen;465,33;482,16
2016;2;Vlaanderen;493,46;490,46
2016;3;Vlaanderen;517,15;495,5
2016;4;Vlaanderen;541,27;499,69
2016;5;Vlaanderen;621,62;507,22
2016;6;Vlaanderen;690,28;513,89
2016;7;Vlaanderen;372,12;514,53
2016;8;Vlaanderen;559,4;528,82
2016;9;Vlaanderen;567,38;533,29
2016;10;Vlaanderen;620,17;533,58
2016;11;Vlaanderen;601,89;539,21
2016;12;Vlaanderen;370,22;534,54
2017;1;Vlaanderen;375,96;526,97
2017;2;Vlaanderen;541,8;530,77
2017;3;Vlaanderen;564,15;534,76
2017;4;Vlaanderen;507,29;531,97
2017;5;Vlaanderen;662,34;535,43
2017;6;Vlaanderen;803,2;544,71
2017;7;Vlaanderen;352,99;543,09
2017;8;Vlaanderen;538,4;541,3
2017;9;Vlaanderen;598,76;543,88
2017;10;Vlaanderen;703,61;550,97
2017;11;Vlaanderen;667,48;556,36
2017;12;Vlaanderen;510,72;568,29
2018;1;Vlaanderen;402,75;570,56
2018;2;Vlaanderen;521,88;569,04
2018;3;Vlaanderen;587,74;571,04
2018;4;Vlaanderen;546,68;574,28
2018;5;Vlaanderen;713,54;578,63
2018;6;Vlaanderen;677,2;568,27
2018;7;Vlaanderen;430,72;574,87
2018;8;Vlaanderen;462,25;568,4
2018;9;Vlaanderen;541,66;563,71
2018;10;Vlaanderen;729;565,87
2018;11;Vlaanderen;619,78;561,95
2018;12;Vlaanderen;397,87;552,36
2019;1;Vlaanderen;390,69;551,26
2019;2;Vlaanderen;574,55;555,3
2019;3;Vlaanderen;518,61;549,51
2019;4;Vlaanderen;619,72;555,51
2019;5;Vlaanderen;598,25;545,72
2019;6;Vlaanderen;738,75;550,78
2019;7;Vlaanderen;363,22;545,04
2019;8;Vlaanderen;480,24;546,57
2019;9;Vlaanderen;575,22;549,33
2019;10;Vlaanderen;737,72;550,07
2019;11;Vlaanderen;626,03;550,59
2019;12;Vlaanderen;502,71;559,49
2020;1;Vlaanderen;405,33;560,73
2020;2;Vlaanderen;503,41;555,13
2020;3;Vlaanderen;302,54;536,83
2020;4;Vlaanderen;45,33;489,75
2020;5;Vlaanderen;115,99;448,9
2020;6;Vlaanderen;326,48;415,11
2020;7;Vlaanderen;347;413,74
2020;8;Vlaanderen;229,15;392,47
2020;9;Vlaanderen;390,78;377,35
2020;10;Vlaanderen;268,76;337,63
2020;11;Vlaanderen;151,37;298,72
2020;12;Vlaanderen;176,86;271,13
2021;1;Vlaanderen;170,15;251,21
2021;2;Vlaanderen;239,41;230,26
2021;3;Vlaanderen;278,05;228,18
2021;4;Vlaanderen;316,4;250,46
2021;5;Vlaanderen;439,09;277,9
2021;6;Vlaanderen;562,3;297,29
2021;7;Vlaanderen;303,91;293,63
2021;8;Vlaanderen;458,55;313,11
2021;9;Vlaanderen;718,37;340,04
2021;10;Vlaanderen;797,5;384,94
2021;11;Vlaanderen;424,22;407,37
2021;12;Vlaanderen;257,66;414,23
